Time,Open,High,Low,Last,Change,Volume
11/3/2019 17:00,82.348,82.361,82.329,82.335,-0.013,2232
11/3/2019 16:00,82.362,82.368,82.306,82.348,-0.013,2561
11/3/2019 15:00,82.387,82.387,82.347,82.361,0.063,121
11/1/2019 15:00,82.315,82.329,82.263,82.298,-0.016,3748
11/1/2019 14:00,82.351,82.352,82.272,82.314,-0.037,5987
11/1/2019 13:00,82.343,82.356,82.289,82.351,0.008,6232
11/1/2019 12:00,82.3,82.405,82.267,82.343,0.043,7944
11/1/2019 11:00,82.268,82.329,82.186,82.3,0.032,9861
11/1/2019 10:00,82.132,82.268,82.082,82.268,0.136,11360
11/1/2019 9:00,81.996,82.14,81.929,82.132,0.135,15629
11/1/2019 8:00,82.005,82.063,81.957,81.997,-0.008,12322
11/1/2019 7:00,81.993,82.148,81.911,82.005,0.012,15048
11/1/2019 6:00,82.088,82.088,81.988,81.993,-0.078,6283
11/1/2019 5:00,82.051,82.081,82.03,82.071,0.02,6732
11/1/2019 4:00,82.118,82.12,82.049,82.051,-0.066,6207
11/1/2019 3:00,82.105,82.149,82.093,82.117,0.012,6609
11/1/2019 2:00,82.114,82.154,82.092,82.105,-0.009,5999
11/1/2019 1:00,82.062,82.119,82.058,82.114,0.052,4010
11/1/2019 0:00,82.103,82.109,82.058,82.062,-0.04,3331
10/31/2019 23:00,82.129,82.13,82.097,82.102,-0.028,2865
10/31/2019 22:00,82.158,82.161,82.122,82.13,-0.028,3359
10/31/2019 21:00,82.104,82.163,82.079,82.158,0.055,5578
10/31/2019 20:00,81.983,82.116,81.952,82.103,0.119,7712
10/31/2019 19:00,82.008,82.085,81.981,81.984,-0.024,7330
10/31/2019 18:00,82.027,82.032,81.976,82.008,-0.019,3750
10/31/2019 17:00,82.043,82.057,82.015,82.027,-0.015,3344
10/31/2019 16:00,82.051,82.075,82.001,82.042,-0.01,2707
10/31/2019 15:00,81.98,82.059,81.979,82.052,0.072,2892
10/31/2019 14:00,82.029,82.055,81.976,81.98,-0.049,6375
10/31/2019 13:00,82.035,82.038,81.961,82.029,-0.006,6344
10/31/2019 12:00,82.031,82.066,82.001,82.035,0.003,8048
10/31/2019 11:00,82.228,82.235,82.025,82.032,-0.196,12140
10/31/2019 10:00,82.259,82.334,82.148,82.228,-0.03,14027
10/31/2019 9:00,82.18,82.274,82.079,82.258,0.078,14067
10/31/2019 8:00,82.228,82.317,82.149,82.18,-0.048,12307
10/31/2019 7:00,82.143,82.248,82.086,82.228,0.084,11159
10/31/2019 6:00,82.223,82.238,82.089,82.144,-0.075,9070
10/31/2019 5:00,82.199,82.259,82.157,82.219,0.02,8655
10/31/2019 4:00,82.487,82.494,82.158,82.199,-0.287,13504
10/31/2019 3:00,82.537,82.548,82.442,82.486,-0.052,8400
10/31/2019 2:00,82.619,82.625,82.533,82.538,-0.082,7273
10/31/2019 1:00,82.593,82.62,82.576,82.62,0.027,4778
10/31/2019 0:00,82.576,82.61,82.556,82.593,0.016,4949
10/30/2019 23:00,82.566,82.606,82.566,82.577,0.011,4524
10/30/2019 22:00,82.597,82.666,82.565,82.566,-0.031,7312
10/30/2019 21:00,82.532,82.611,82.514,82.597,0.065,5674
10/30/2019 20:00,82.629,82.632,82.481,82.532,-0.098,8494
10/30/2019 19:00,82.632,82.668,82.603,82.63,-0.001,8478
10/30/2019 18:00,82.663,82.665,82.618,82.631,-0.032,4804
10/30/2019 17:00,82.702,82.714,82.662,82.663,-0.039,3803
10/30/2019 16:00,82.655,82.721,82.575,82.702,0.05,4296
10/30/2019 15:00,82.675,82.739,82.63,82.652,-0.023,5220
10/30/2019 14:00,82.662,82.688,82.555,82.675,0.013,14922
10/30/2019 13:00,82.618,82.799,82.542,82.662,0.044,20401
10/30/2019 12:00,82.613,82.653,82.59,82.618,0.005,6267
10/30/2019 11:00,82.602,82.634,82.578,82.613,0.011,7851
10/30/2019 10:00,82.801,82.817,82.55,82.602,-0.199,12388
10/30/2019 9:00,83.194,83.194,82.703,82.801,-0.395,16796
10/30/2019 8:00,83.185,83.279,83.169,83.196,0.011,10940
10/30/2019 7:00,83.187,83.209,83.088,83.185,-0.002,10761
10/30/2019 6:00,83.206,83.212,83.148,83.187,-0.016,6441
10/30/2019 5:00,83.202,83.248,83.194,83.203,0.002,5042
10/30/2019 4:00,83.203,83.226,83.171,83.201,-0.002,4938
10/30/2019 3:00,83.201,83.225,83.167,83.203,0.002,6273
10/30/2019 2:00,83.162,83.214,83.155,83.201,0.039,5591
10/30/2019 1:00,83.169,83.175,83.108,83.162,-0.007,4884
10/30/2019 0:00,83.133,83.17,83.121,83.169,0.037,3737
10/29/2019 23:00,83.138,83.143,83.11,83.132,-0.006,3208
10/29/2019 22:00,83.145,83.169,83.132,83.138,-0.007,2903
10/29/2019 21:00,83.153,83.172,83.131,83.145,-0.007,4053
10/29/2019 20:00,83.167,83.18,83.117,83.152,-0.015,5332
10/29/2019 19:00,83.16,83.175,83.103,83.167,0.007,6163
10/29/2019 18:00,83.155,83.171,83.142,83.16,0.006,3311
10/29/2019 17:00,83.192,83.198,83.152,83.154,-0.038,4283
10/29/2019 16:00,83.194,83.197,83.148,83.192,-0.001,3370
10/29/2019 15:00,83.075,83.194,83.075,83.193,0.118,3381
10/29/2019 14:00,83.135,83.145,83.073,83.075,-0.06,5229
10/29/2019 13:00,83.226,83.229,83.109,83.135,-0.091,5215
10/29/2019 12:00,83.208,83.239,83.175,83.226,0.018,5640
10/29/2019 11:00,83.206,83.236,83.164,83.208,0.002,9728
10/29/2019 10:00,83.364,83.369,83.144,83.206,-0.158,10138
10/29/2019 9:00,83.333,83.417,83.326,83.364,0.029,10472
10/29/2019 8:00,83.43,83.453,83.335,83.335,-0.095,8916
10/29/2019 7:00,83.447,83.479,83.376,83.43,-0.017,7824
10/29/2019 6:00,83.416,83.501,83.337,83.447,0.037,6768
10/29/2019 5:00,83.333,83.42,83.324,83.41,0.076,6658
10/29/2019 4:00,83.384,83.428,83.322,83.334,-0.051,6080
10/29/2019 3:00,83.378,83.397,83.331,83.385,0.006,6124
10/29/2019 2:00,83.457,83.467,83.376,83.379,-0.078,5562
10/29/2019 1:00,83.495,83.499,83.447,83.457,-0.037,3856
10/29/2019 0:00,83.486,83.494,83.46,83.494,0.008,3197
10/28/2019 23:00,83.44,83.491,83.439,83.486,0.044,3095
10/28/2019 22:00,83.473,83.488,83.435,83.442,-0.03,3409
10/28/2019 21:00,83.455,83.482,83.453,83.472,0.018,3645
10/28/2019 20:00,83.5,83.504,83.436,83.454,-0.045,4857
10/28/2019 19:00,83.462,83.548,83.443,83.499,0.038,5486
10/28/2019 18:00,83.447,83.474,83.439,83.461,0.014,3447
10/28/2019 17:00,83.46,83.479,83.443,83.447,-0.013,4261
10/28/2019 16:00,83.448,83.471,83.428,83.46,0.01,5366
10/28/2019 15:00,83.429,83.492,83.421,83.45,0.022,3425
10/28/2019 14:00,83.499,83.5,83.422,83.428,-0.071,4702
10/28/2019 13:00,83.441,83.499,83.427,83.499,0.058,4441
10/28/2019 12:00,83.466,83.479,83.429,83.441,-0.024,5167
10/28/2019 11:00,83.449,83.478,83.421,83.465,0.015,6817
10/28/2019 10:00,83.343,83.451,83.341,83.45,0.107,7962
10/28/2019 9:00,83.46,83.46,83.341,83.343,-0.117,8912
10/28/2019 8:00,83.319,83.466,83.273,83.46,0.141,9979
10/28/2019 7:00,83.243,83.365,83.203,83.319,0.077,8658
10/28/2019 6:00,83.251,83.298,83.234,83.242,-0.008,5307
10/28/2019 5:00,83.22,83.27,83.213,83.25,0.031,5245
10/28/2019 4:00,83.183,83.227,83.147,83.219,0.036,5678
10/28/2019 3:00,83.159,83.199,83.152,83.183,0.024,7608
